codigo,estacao,uf,regiao,latitude,longitude,altitude_m,n_pares,anos_com_dados,primeiro_ano,ultimo_ano,media_inmet_c,media_era5_c,bias_c,mae_c,rmse_c,correlacao_pearson,desvio_erro_c,erro_min_c,erro_p05_c,erro_mediana_c,erro_p95_c,erro_max_c,erro_abs_max_c,pct_abs_erro_gt5,pct_abs_erro_gt10,pct_abs_erro_gt20,n_celulas_era5_historico,mudou_celula_era5,deslocamento_max_coord_km,amostra_interpretavel,pares_removidos_qc,pct_pares_removidos_qc,delta_bias_qc_c,delta_mae_qc_c,delta_rmse_qc_c,delta_correlacao_qc,n_abs_erro_gt5,n_abs_erro_gt10,n_abs_erro_gt20,n_pares_completa,anos_com_dados_completa,primeiro_ano_completa,ultimo_ano_completa,media_inmet_c_completa,media_era5_c_completa,bias_c_completa,mae_c_completa,rmse_c_completa,correlacao_pearson_completa,desvio_erro_c_completa,erro_min_c_completa,erro_p05_c_completa,erro_mediana_c_completa,erro_p95_c_completa,erro_max_c_completa,erro_abs_max_c_completa,n_abs_erro_gt5_completa,n_abs_erro_gt10_completa,n_abs_erro_gt20_completa,pct_abs_erro_gt5_completa,pct_abs_erro_gt10_completa,pct_abs_erro_gt20_completa,anos_presentes,anos_cobertura_80,anos_cobertura_90,cobertura_mediana,coordenada_suspeita,dentro_dominio_era5
A001,BRASILIA,DF,CO,-15.78944444,-47.92583332,1159.54,219705,26,2000,2025,22.130404406483066,22.031664564334925,-0.09873984159319499,0.9899889019381574,1.3350847090958105,0.9398441350839652,1.3314314449998073,-7.953661918640137,-2.0933492183685303,-0.1601894348859787,2.1248734474182083,13.11875057220459,13.11875057220459,0.47154138503902965,0.005006713547711704,0.0,1,False,0.0139884202775015,True,0,0.0,0.0,0.0,4.285460875053104e-14,-7.549516567451064e-15,1036.0,11.0,0.0,219705,26,2000,2025,22.130404406483066,22.031664564334925,-0.09873984159319499,0.9899889019381574,1.3350847090957676,0.9398441350839728,1.3314314449998166,-7.953661918640137,-2.0933492183685303,-0.1601894348859787,2.1248734474182083,13.11875057220459,13.11875057220459,1036.0,11.0,0.0,0.47154138503902965,0.005006713547711704,0.0,26,26,25,0.997321406292886,False,True
A002,GOIANIA,GO,CO,-16.64277777,-49.21999999,770.0,207094,25,2001,2025,24.448010562125386,23.761594809335687,-0.6864157559817783,1.6708906821292344,2.0959558641954934,0.9286467493953214,1.9803745434366875,-24.75615119934082,-3.552594912052154,-0.8275874853134155,2.751814377307882,30.54536247253418,30.54536247253418,1.3897070895342212,0.057461828927926444,0.010623195263986402,1,False,0.0295938501110867,True,0,0.0,0.0,0.0,-4.884981308350689e-15,6.439293542825908e-15,2878.0,119.0,22.0,207094,25,2001,2025,24.448010562125386,23.761594809335687,-0.6864157559817783,1.6708906821292344,2.0959558641954983,0.928646749395315,1.980374543436687,-24.75615119934082,-3.552594912052154,-0.8275874853134155,2.751814377307882,30.54536247253418,30.54536247253418,2878.0,119.0,22.0,1.3897070895342212,0.057461828927926444,0.010623195263986402,25,24,22,0.9930365296803652,False,True
A003,MORRINHOS,GO,CO,-17.71666667,-49.1,771.42,183769,24,2001,2025,23.629288397401037,23.899494914975747,0.2702065149190925,1.4748153287415486,1.88967214683655,0.9412818810138305,1.8702588847203847,-12.928661346435547,-2.4600679874420166,0.06626319885253906,3.5862150192260747,15.034177780151367,15.034177780151367,1.2325256163988485,0.01632484260130925,0.0,1,False,3.162982582999043,True,0,0.0,-5.551115123125783e-17,0.0,-5.573319583618286e-14,2.220446049250313e-15,2265.0,30.0,0.0,183769,24,2001,2025,23.629288397401037,23.899494914975747,0.27020651491909253,1.4748153287415486,1.8896721468366058,0.9412818810138283,1.8702588847203836,-12.928661346435547,-2.4600679874420166,0.06626319885253906,3.5862150192260747,15.034177780151367,15.034177780151367,2265.0,30.0,0.0,1.2325256163988485,0.01632484260130925,0.0,25,19,17,0.9920309653916212,False,True
A005,PORANGATU,GO,CO,-13.30944444,-49.11749999,365.0,51278,8,2018,2025,27.683474385471953,27.036849808277264,-0.6466245860860395,1.509405554376229,1.903389738430647,0.9218554697913387,1.790204357101884,-10.19853687286377,-3.1759151458740233,-0.7500240504741669,2.369910144805907,21.437646865844727,21.437646865844727,1.1876438238620852,0.021451694683880026,0.0019501540621709114,2,True,24.414217027042948,True,0,0.0,0.0,0.0,-2.6645352591003757e-15,-6.217248937900877e-15,609.0,11.0,1.0,51278,8,2018,2025,27.683474385471953,27.036849808277264,-0.6466245860860395,1.509405554376229,1.9033897384306497,0.9218554697913449,1.7902043571018822,-10.19853687286377,-3.1759151458740233,-0.7500240504741669,2.369910144805907,21.437646865844727,21.437646865844727,609.0,11.0,1.0,1.1876438238620852,0.021451694683880026,0.0019501540621709114,8,5,5,0.9589119070788732,True,True
A009,PALMAS,TO,N,-10.18333333,-48.3,280.0,158598,22,2004,2025,28.082112001665294,26.601403913446333,-1.4807080928953322,1.9602409232792761,2.4167538876962844,0.8928090298608499,1.9100329579106436,-10.541698455810547,-4.358036756515503,-1.5270748138427734,1.5902535319328301,12.947606086730957,12.947606086730957,3.1002913025384937,0.009457874626413953,0.0,1,False,4.257973878614599,True,0,0.0,2.220446049250313e-16,0.0,4.75175454539567e-14,2.55351295663786e-15,4917.0,15.0,0.0,158598,22,2004,2025,28.082112001665294,26.601403913446333,-1.4807080928953325,1.9602409232792761,2.416753887696237,0.8928090298608473,1.910032957910644,-10.541698455810547,-4.358036756515503,-1.5270748138427734,1.5902535319328301,12.947606086730957,12.947606086730957,4917.0,15.0,0.0,3.1002913025384937,0.009457874626413953,0.0,22,20,13,0.9453767123287672,False,True
A010,PARANA,TO,N,-12.615,-47.87194443,280.0,165287,21,2005,2025,26.923461608712703,26.74673482064541,-0.17672679467079197,1.7959958722247111,2.2103714250039332,0.9300309106269333,2.203301805672698,-12.012828826904297,-3.3526705503463745,-0.3010738492012024,3.733030486106871,12.59931468963623,12.59931468963623,1.9602267570952343,0.012100165167254533,0.0,1,False,0.0122645285149314,True,0,0.0,-2.7755575615628914e-17,0.0,-5.551115123125783e-14,4.773959005888173e-15,3240.0,20.0,0.0,165287,21,2005,2025,26.923461608712703,26.74673482064541,-0.17672679467079194,1.7959958722247111,2.2103714250039888,0.9300309106269286,2.2033018056726994,-12.012828826904297,-3.3526705503463745,-0.3010738492012024,3.733030486106871,12.59931468963623,12.59931468963623,3240.0,20.0,0.0,1.9602267570952343,0.012100165167254533,0.0,21,18,16,0.9565068493150684,False,True
A011,SAO SIMAO,GO,CO,-18.96666666,-50.61666666,488.51,146795,20,2006,2025,25.436637485673323,25.39682719717153,-0.03981029030692855,1.3817508259557987,1.7773527818519432,0.9354218655870304,1.7769129300511708,-9.015819549560547,-2.724745678901672,-0.11489219963550568,2.8819971084594713,14.837547302246094,14.837547302246094,1.0463571647535679,0.021799107599032665,0.0,2,True,1.7861206140485693,True,0,0.0,0.0,2.220446049250313e-16,2.2870594307278225e-14,8.659739592076221e-15,1536.0,32.0,0.0,146795,20,2006,2025,25.436637485673323,25.39682719717153,-0.03981029030692855,1.3817508259557985,1.7773527818519204,0.9354218655870218,1.7769129300511772,-9.015819549560547,-2.724745678901672,-0.11489219963550568,2.8819971084594713,14.837547302246094,14.837547302246094,1536.0,32.0,0.0,1.0463571647535679,0.021799107599032665,0.0,20,17,13,0.9685502283105024,False,True
A012,LUZIANIA,GO,CO,-16.27222222,-47.96638889,959.5,162561,20,2006,2025,23.19213279986509,22.73230070829657,-0.4598320910317224,1.2209289854310406,1.6069446781502128,0.9315083110596583,1.5397533019948417,-7.945653915405273,-2.8323237895965576,-0.5241695642471313,2.0708987712860107,12.09311580657959,12.09311580657959,0.8224604917538647,0.004921229569207867,0.0,1,False,1.2986309587468912,True,0,0.0,0.0,0.0,1.0347278589506459e-13,-2.220446049250313e-16,1337.0,8.0,0.0,162561,20,2006,2025,23.19213279986509,22.73230070829657,-0.4598320910317224,1.2209289854310406,1.6069446781501093,0.9315083110596585,1.5397533019948455,-7.945653915405273,-2.8323237895965576,-0.5241695642471313,2.0708987712860107,12.09311580657959,12.09311580657959,1337.0,8.0,0.0,0.8224604917538647,0.004921229569207867,0.0,20,18,18,0.9960681937270754,False,True
A013,ARAGARCAS,GO,CO,-15.90583333,-52.24388888,347.0,121851,19,2007,2025,27.015612505826304,26.296047018206913,-0.7195654923809363,1.734899440804195,2.1327900372067097,0.9251574201146338,2.007747973923901,-10.768896102905273,-3.5624507665634155,-0.9009212255477905,2.8878848552703857,10.524998664855957,10.768896102905273,1.5748742316435649,0.0024620232907403305,0.0,1,False,0.378806325528851,True,0,0.0,-1.1102230246251565e-16,-2.220446049250313e-16,1.0658141036401503e-14,1.1102230246251565e-16,1919.0,3.0,0.0,121851,19,2007,2025,27.015612505826304,26.296047018206913,-0.7195654923809361,1.7348994408041951,2.132790037206699,0.9251574201146336,2.00774797392391,-10.768896102905273,-3.5624507665634155,-0.9009212255477905,2.8878848552703857,10.524998664855957,10.768896102905273,1919.0,3.0,0.0,1.5748742316435649,0.0024620232907403305,0.0,19,12,12,0.9114155251141552,False,True
A014,GOIAS,GO,CO,-15.93916666,-50.14138888,512.0,155698,19,2007,2025,26.55176687655886,25.53605386571349,-1.0157130165023,1.814389678662118,2.3003670289104337,0.9038102006761592,2.0639871357985204,-18.531494140625,-4.1012615442276,-1.0850845575332642,2.3611064195632925,11.242820739746094,18.531494140625,2.5536615756143304,0.1400146437333813,0.0,1,False,0.062707128950565,True,0,0.0,-2.220446049250313e-16,-4.440892098500626e-16,-1.021405182655144e-13,2.55351295663786e-15,3976.0,218.0,0.0,155698,19,2007,2025,26.55176687655886,25.53605386571349,-1.0157130165022998,1.8143896786621185,2.300367028910536,0.9038102006761567,2.063987135798512,-18.531494140625,-4.1012615442276,-1.0850845575332642,2.3611064195632925,11.242820739746094,18.531494140625,3976.0,218.0,0.0,2.5536615756143304,0.1400146437333813,0.0,19,19,16,0.992579908675799,False,True
