codigo,estacao,uf,regiao,anos_validos_extremos,primeiro_ano_valido_extremos,ultimo_ano_valido_extremos,maior_sequencia_consecutiva,rede_extremos_10a,rede_extremos_15a,rede_extremos_consecutiva_10a,rede_extremos_consecutiva_15a
A001,BRASILIA,DF,Centro-Oeste,20,2003.0,2025.0,15,True,True,True,True
A002,GOIANIA,GO,Centro-Oeste,18,2006.0,2024.0,15,True,True,True,True
A003,MORRINHOS,GO,Centro-Oeste,16,2006.0,2025.0,7,True,True,False,False
A005,PORANGATU,GO,Centro-Oeste,0,,,0,False,False,False,False
A009,PALMAS,TO,Norte,6,2008.0,2020.0,3,False,False,False,False
A010,PARANA,TO,Norte,11,2007.0,2024.0,5,True,False,False,False
A011,SAO SIMAO,GO,Centro-Oeste,11,2007.0,2025.0,3,True,False,False,False
A012,LUZIANIA,GO,Centro-Oeste,15,2007.0,2025.0,7,True,True,False,False
A013,ARAGARCAS,GO,Centro-Oeste,6,2008.0,2019.0,3,False,False,False,False
A014,GOIAS,GO,Centro-Oeste,12,2008.0,2025.0,4,True,False,False,False
A015,ITAPACI,GO,Centro-Oeste,8,2011.0,2021.0,3,False,False,False,False
A016,JATAI,GO,Centro-Oeste,14,2008.0,2025.0,9,True,False,False,False
A017,POSSE,GO,Centro-Oeste,9,2008.0,2025.0,3,False,False,False,False
A018,PEIXE,TO,Norte,6,2007.0,2022.0,2,False,False,False,False
A019,GURUPI,TO,Norte,11,2008.0,2024.0,5,True,False,False,False
A020,PEDRO AFONSO,TO,Norte,9,2008.0,2024.0,2,False,False,False,False
A021,ARAGUAINA,TO,Norte,9,2009.0,2025.0,4,False,False,False,False
A022,GOIANESIA,GO,Centro-Oeste,9,2009.0,2025.0,2,False,False,False,False
A023,CAIAPONIA,GO,Centro-Oeste,11,2008.0,2025.0,4,True,False,False,False
A024,ALTO PARAISO DE GOIAS,GO,Centro-Oeste,11,2008.0,2021.0,5,True,False,False,False
A025,RIO VERDE,GO,Centro-Oeste,8,2008.0,2025.0,2,False,False,False,False
A026,MINEIROS,GO,Centro-Oeste,7,2011.0,2023.0,2,False,False,False,False
A027,PARAUNA,GO,Centro-Oeste,10,2009.0,2025.0,4,True,False,False,False
A028,IPORA,GO,Centro-Oeste,7,2014.0,2025.0,2,False,False,False,False
A029,EDEIA,GO,Centro-Oeste,4,2018.0,2024.0,3,False,False,False,False
A031,SAO MIGUEL DO ARAGUAIA,GO,Centro-Oeste,3,2018.0,2025.0,1,False,False,False,False
A032,MONTE ALEGRE DE GOIAS,GO,Centro-Oeste,9,2008.0,2022.0,3,False,False,False,False
A033,PIRES DO RIO,GO,Centro-Oeste,13,2008.0,2025.0,4,True,False,False,False
A034,CATALAO,GO,Centro-Oeste,14,2009.0,2025.0,7,True,False,False,False
A035,ITUMBIARA,GO,Centro-Oeste,11,2009.0,2025.0,3,True,False,False,False
A036,CRISTALINA,GO,Centro-Oeste,18,2008.0,2025.0,18,True,True,True,True
A037,SILVANIA,GO,Centro-Oeste,11,2011.0,2025.0,5,True,False,False,False
A038,DIANOPOLIS,TO,Norte,9,2009.0,2023.0,4,False,False,False,False
A039,FORMOSO DO ARAGUAIA,TO,Norte,0,,,0,False,False,False,False
A040,MATEIROS,TO,Norte,7,2014.0,2025.0,3,False,False,False,False
A041,MARIANOPOLIS DO TO,TO,Norte,4,2013.0,2025.0,2,False,False,False,False
A042,BRAZLANDIA,DF,Centro-Oeste,7,2018.0,2025.0,6,False,False,False,False
A043,CAMPOS LINDOS,TO,Norte,4,2014.0,2019.0,2,False,False,False,False
A044,ARAGUATINS,TO,Norte,7,2011.0,2025.0,5,False,False,False,False
A045,AGUAS EMENDADAS,DF,Centro-Oeste,17,2009.0,2025.0,17,True,True,True,True
A046,GAMA (PONTE ALTA),DF,Centro-Oeste,11,2015.0,2025.0,11,True,False,True,False
A047,PARANOA (COOPA-DF),DF,Centro-Oeste,7,2018.0,2025.0,4,False,False,False,False
A048,SANTA FE DO ARAGUAIA,TO,Norte,4,2018.0,2025.0,3,False,False,False,False
A049,COLINAS DO TOCANTINS,TO,Norte,2,2017.0,2020.0,1,False,False,False,False
A050,RIO SONO,TO,Norte,0,,,0,False,False,False,False
A051,PIUM,TO,Norte,4,2018.0,2023.0,2,False,False,False,False
A052,SANTA ROSA DO TOCANTINS,TO,Norte,0,,,0,False,False,False,False
A053,ALMAS,TO,Norte,4,2018.0,2025.0,2,False,False,False,False
A054,ARAGUACU,TO,Norte,3,2016.0,2025.0,1,False,False,False,False
A055,LAGOA DA CONFUSAO,TO,Norte,5,2017.0,2025.0,3,False,False,False,False
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,Centro-Oeste,5,2019.0,2025.0,2,False,False,False,False
A101,MANAUS,AM,Norte,16,2007.0,2025.0,15,True,True,True,True
A102,PARQUE ESTADUAL CHANDLESS,AC,Norte,5,2015.0,2022.0,3,False,False,False,False
A104,RIO BRANCO,AC,Norte,0,,,0,False,False,False,False
A108,CRUZEIRO DO SUL,AC,Norte,0,,,0,False,False,False,False
A109,EIRUNEPE,AM,Norte,1,2015.0,2015.0,1,False,False,False,False
A110,BOCA DO ACRE,AM,Norte,8,2012.0,2025.0,3,False,False,False,False
A111,LABREA,AM,Norte,0,,,0,False,False,False,False
A112,HUMAITA,AM,Norte,0,,,0,False,False,False,False
A113,APUI,AM,Norte,5,2011.0,2015.0,5,False,False,False,False
A117,COARI,AM,Norte,5,2011.0,2019.0,2,False,False,False,False
A119,MANACAPURU,AM,Norte,12,2009.0,2025.0,5,True,False,False,False
A120,AUTAZES,AM,Norte,0,,,0,False,False,False,False
A121,ITACOATIARA,AM,Norte,10,2009.0,2025.0,3,True,False,False,False
A122,MAUES,AM,Norte,6,2009.0,2014.0,6,False,False,False,False
A123,PARINTINS,AM,Norte,4,2009.0,2024.0,2,False,False,False,False
A124,URUCARA,AM,Norte,0,,,0,False,False,False,False
A125,RIO URUBU,AM,Norte,0,,,0,False,False,False,False
A126,PRESIDENTE FIGUEIREDO,AM,Norte,8,2009.0,2018.0,4,False,False,False,False
A128,BARCELOS,AM,Norte,9,2009.0,2025.0,4,False,False,False,False
A133,MANICORE,AM,Norte,7,2012.0,2024.0,4,False,False,False,False
A134,S. G. DA CACHOEIRA,AM,Norte,9,2012.0,2024.0,4,False,False,False,False
A135,BOA VISTA,RR,Norte,5,2011.0,2019.0,3,False,False,False,False
A136,PORTO WALTER,AC,Norte,2,2015.0,2018.0,1,False,False,False,False
A137,MARECHAL THAUMATURGO,AC,Norte,1,2015.0,2015.0,1,False,False,False,False
A138,FEIJO,AC,Norte,0,,,0,False,False,False,False
A140,EPITACIOLANDIA,AC,Norte,9,2010.0,2025.0,4,False,False,False,False
A144,NOVO ARIPUANA,AM,Norte,1,2025.0,2025.0,1,False,False,False,False
A201,BELEM,PA,Norte,10,2010.0,2024.0,4,True,False,False,False
A202,CASTANHAL,PA,Norte,11,2004.0,2025.0,5,True,False,False,False
A203,SAO LUIS,MA,Nordeste,10,2012.0,2025.0,6,True,False,False,False
A204,BALSAS,MA,Nordeste,4,2008.0,2019.0,2,False,False,False,False
A205,CAROLINA,MA,Nordeste,9,2012.0,2025.0,6,False,False,False,False
A206,CHAPADINHA,MA,Nordeste,10,2009.0,2025.0,5,True,False,False,False
A207,GRAJAU,MA,Nordeste,7,2009.0,2024.0,2,False,False,False,False
A209,MEDICILANDIA,PA,Norte,8,2009.0,2023.0,6,False,False,False,False
A210,PACAJA,PA,Norte,1,2025.0,2025.0,1,False,False,False,False
A211,PLACAS,PA,Norte,6,2009.0,2023.0,2,False,False,False,False
A212,PARAGOMINAS,PA,Norte,0,,,0,False,False,False,False
A213,TOME ACU,PA,Norte,7,2008.0,2025.0,2,False,False,False,False
A214,RONDON DO PARA,PA,Norte,8,2009.0,2024.0,4,False,False,False,False
A215,SALINOPOLIS,PA,Norte,4,2009.0,2016.0,2,False,False,False,False
A216,SAO FELIX DO XINGU,PA,Norte,2,2017.0,2021.0,1,False,False,False,False
A217,FAROL de SANTANA,MA,Nordeste,5,2009.0,2018.0,2,False,False,False,False
A218,PREGUICAS,MA,Nordeste,7,2009.0,2024.0,2,False,False,False,False
A219,TURIACU,MA,Nordeste,9,2009.0,2025.0,3,False,False,False,False
A220,BACABAL,MA,Nordeste,7,2009.0,2025.0,3,False,False,False,False
A221,BARRA DO CORDA,MA,Nordeste,7,2009.0,2018.0,3,False,False,False,False
A222,COLINAS,MA,Nordeste,6,2009.0,2023.0,2,False,False,False,False
A223,ALTO PARNAIBA,MA,Nordeste,8,2009.0,2024.0,4,False,False,False,False
A224,ESTREITO,MA,Nordeste,9,2009.0,2025.0,3,False,False,False,False
A225,IMPERATRIZ,MA,Nordeste,12,2009.0,2023.0,5,True,False,False,False
A226,BRAGANCA,PA,Norte,10,2009.0,2024.0,3,True,False,False,False
A227,SOURE,PA,Norte,0,,,0,False,False,False,False
A228,BREVES,PA,Norte,2,2018.0,2019.0,2,False,False,False,False
A229,TUCURUI,PA,Norte,10,2009.0,2024.0,3,True,False,False,False
A230,SERRA DOS CARAJAS,PA,Norte,6,2009.0,2018.0,4,False,False,False,False
A231,ITAITUBA,PA,Norte,8,2009.0,2025.0,3,False,False,False,False
A232,OBIDOS,PA,Norte,0,,,0,False,False,False,False
A233,SANTANA DO ARAGUAIA,PA,Norte,7,2009.0,2024.0,2,False,False,False,False
A234,TUCUMA,PA,Norte,5,2017.0,2025.0,3,False,False,False,False
A235,NOVO REPARTIMENTO,PA,Norte,8,2009.0,2020.0,4,False,False,False,False
A236,CAMETA,PA,Norte,2,2013.0,2019.0,1,False,False,False,False
A237,CAXIAS,MA,Nordeste,7,2009.0,2024.0,2,False,False,False,False
A238,BURITICUPU,MA,Nordeste,10,2009.0,2025.0,9,True,False,False,False
A239,MONTE ALEGRE,PA,Norte,2,2013.0,2016.0,1,False,False,False,False
A240,MARABA,PA,Norte,0,,,0,False,False,False,False
A241,CONCEICAO DO ARAGUAIA,PA,Norte,0,,,0,False,False,False,False
A242,OIAPOQUE,AP,Norte,6,2009.0,2025.0,2,False,False,False,False
A244,PORTO GRANDE,AP,Norte,2,2023.0,2024.0,2,False,False,False,False
A245,PORTO DE MOZ,PA,Norte,2,2023.0,2024.0,2,False,False,False,False
A246,MINA DO PALITO,PA,Norte,4,2012.0,2016.0,3,False,False,False,False
A247,XINGUARA,PA,Norte,4,2017.0,2024.0,1,False,False,False,False
A248,CAPITAO POCO,PA,Norte,4,2012.0,2019.0,2,False,False,False,False
A249,MACAPA,AP,Norte,5,2014.0,2025.0,3,False,False,False,False
A250,SANTAREM,PA,Norte,4,2016.0,2024.0,2,False,False,False,False
A251,ITAUBAL,AP,Norte,0,,,0,False,False,False,False
A252,DOM ELISEU,PA,Norte,5,2019.0,2025.0,3,False,False,False,False
A253,ALTAMIRA,PA,Norte,3,2019.0,2024.0,2,False,False,False,False
A254,REDENCAO,PA,Norte,4,2020.0,2025.0,2,False,False,False,False
A255,ZE DOCA,MA,Nordeste,4,2020.0,2025.0,3,False,False,False,False
A256,SANTA MARIA DAS BARREIRAS,PA,Norte,1,2024.0,2024.0,1,False,False,False,False
A301,RECIFE,PE,Nordeste,9,2005.0,2020.0,6,False,False,False,False
A303,MACEIO,AL,Nordeste,15,2004.0,2025.0,7,True,True,False,False
A304,NATAL,RN,Nordeste,0,,,0,False,False,False,False
A305,FORTALEZA,CE,Nordeste,8,2013.0,2023.0,3,False,False,False,False
A306,SOBRAL,CE,Nordeste,5,2013.0,2020.0,4,False,False,False,False
A307,PETROLINA,PE,Nordeste,14,2004.0,2021.0,7,True,False,False,False
A308,PARNAIBA,PI,Nordeste,6,2010.0,2023.0,3,False,False,False,False
A309,ARCO VERDE,PE,Nordeste,10,2005.0,2025.0,5,True,False,False,False
A310,AREIA,PB,Nordeste,15,2005.0,2024.0,6,True,True,False,False
A311,FLORIANO,PI,Nordeste,9,2007.0,2019.0,5,False,False,False,False
A312,TERESINA,PI,Nordeste,5,2015.0,2023.0,4,False,False,False,False
A313,CAMPINA GRANDE,PB,Nordeste,11,2008.0,2022.0,3,True,False,False,False
A314,GUARAMIRANGA,CE,Nordeste,0,,,0,False,False,False,False
A315,BARBALHA,CE,Nordeste,6,2008.0,2020.0,2,False,False,False,False
A316,CAICO,RN,Nordeste,9,2007.0,2025.0,3,False,False,False,False
A317,MACAU,RN,Nordeste,5,2007.0,2023.0,3,False,False,False,False
A318,MOSSORO,RN,Nordeste,7,2008.0,2025.0,3,False,False,False,False
A319,IGUATU,CE,Nordeste,2,2008.0,2014.0,1,False,False,False,False
A320,JOAO PESSOA,PB,Nordeste,6,2008.0,2024.0,3,False,False,False,False
A321,PATOS,PB,Nordeste,7,2008.0,2020.0,2,False,False,False,False
A322,GARANHUNS,PE,Nordeste,12,2008.0,2025.0,6,True,False,False,False
A323,PAO DE ACUCAR,AL,Nordeste,6,2008.0,2024.0,2,False,False,False,False
A324,TAUA,CE,Nordeste,7,2008.0,2017.0,4,False,False,False,False
A325,QUIXERAMOBIM,CE,Nordeste,5,2008.0,2017.0,2,False,False,False,False
A326,BOM JESUS DO PIAUI,PI,Nordeste,9,2008.0,2023.0,4,False,False,False,False
A327,PALMEIRA DOS INDIOS,AL,Nordeste,9,2008.0,2020.0,3,False,False,False,False
A328,SURUBIM,PE,Nordeste,7,2009.0,2019.0,4,False,False,False,False
A329,CABROBO,PE,Nordeste,12,2008.0,2025.0,5,True,False,False,False
A330,PAULISTANA,PI,Nordeste,0,,,0,False,False,False,False
A331,SAO JOAO DO PIAUI,PI,Nordeste,6,2008.0,2016.0,3,False,False,False,False
A332,MORADA NOVA,CE,Nordeste,0,,,0,False,False,False,False
A333,SAO GONCALO,PB,Nordeste,0,,,0,False,False,False,False
A334,MONTEIRO,PB,Nordeste,9,2008.0,2023.0,3,False,False,False,False
A335,PIRIPIRI,PI,Nordeste,8,2009.0,2024.0,2,False,False,False,False
A336,ALVORADA DO GURGUEIA,PI,Nordeste,0,,,0,False,False,False,False
A337,CARACOL,PI,Nordeste,3,2010.0,2018.0,1,False,False,False,False
A338,ESPERANTINA,PI,Nordeste,4,2008.0,2015.0,3,False,False,False,False
A339,JAGUARUANA,CE,Nordeste,0,,,0,False,False,False,False
A340,APODI,RN,Nordeste,7,2008.0,2023.0,2,False,False,False,False
A341,CARUARU,PE,Nordeste,0,,,0,False,False,False,False
A342,CRATEUS,CE,Nordeste,11,2011.0,2024.0,5,True,False,False,False
A343,PICOS,PI,Nordeste,5,2010.0,2019.0,2,False,False,False,False
A344,CALCANHAR,RN,Nordeste,2,2011.0,2015.0,1,False,False,False,False
A345,SAO RAIMUNDO NONATO,PI,Nordeste,7,2009.0,2018.0,3,False,False,False,False
A346,URUCUI,PI,Nordeste,11,2009.0,2024.0,4,True,False,False,False
A347,CAMPOS SALES,CE,Nordeste,6,2009.0,2018.0,3,False,False,False,False
